=================================================================
  Run : 20260628_231252
  Strategy : DummyVecEnv(8) + 전체 train pool
  Policy   : MlpPolicy  net_arch=[64, 64]
  Steps    : 2,000,000  (eval every 50,000)
=================================================================
[data] 로딩: /home/hpe/finance-llm-course/day3/01_golden_cross/../../day2/03_fss_api/data/stock_prices.csv
[data] train 199종목 / val 200종목  (split: 20260101)
[env] DummyVecEnv(8)  obs=(20, 9)  act=3
Using cpu device
[model] 파라미터 수: 31,748

[train] 시작  →  tensorboard --logdir /home/hpe/finance-llm-course/day3/01_golden_cross/logs

Logging to /home/hpe/finance-llm-course/day3/01_golden_cross/logs/20260628_231252/20260628_231252_1
---------------------------------
| rollout/           |          |
|    ep_rew_mean          | 4.35        |
| time/                   |             |
|    fps                  | 1573        |
|    iterations           | 96          |
|    time_elapsed         | 499         |
|    total_timesteps      | 786432      |
| train/                  |             |
|    approx_kl            | 0.030531328 |
|    clip_fraction        | 0.188       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.484      |
|    explained_variance   | 0.089       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.029      |
|    n_updates            | 950         |
|    policy_gradient_loss | -0.026      |
|    value_loss           | 0.0143      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 748         |
|    ep_rew_mean          | 4.32        |
| time/                   |             |
|    fps                  | 1575        |
|    iterations           | 97          |
|    time_elapsed         | 504         |
|    total_timesteps      | 794624      |
| train/                  |             |
|    approx_kl            | 0.028985392 |
|    clip_fraction        | 0.186       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.474      |
|    explained_variance   | 0.112       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0296     |
|    n_updates            | 960         |
|    policy_gradient_loss | -0.0241     |
|    value_loss           | 0.0153      |
-----------------------------------------
-----------------------------------------
| train/                  |             |
|    approx_kl            | 0.029067107 |
|    clip_fraction        | 0.19        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.506      |
|    explained_variance   | 0.145       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0501     |
|    n_updates            | 970         |
|    policy_gradient_loss | -0.0238     |
|    value_loss           | 0.0125      |
| train_eval/             |             |
|    mean_cum_return      | 1.65        |
|    mean_mdd             | -0.478      |
|    mean_sharpe          | -0.322      |
|    mean_win_rate        | 0.351       |
|    std_cum_return       | 4.56        |
|    std_mdd              | 0.0889      |
|    std_sharpe           | 1.09        |
|    std_win_rate         | 0.0891      |
| val/                    |             |
|    mean_cum_return      | 0.155       |
|    mean_mdd             | -0.307      |
|    mean_sharpe          | -0.166      |
|    mean_win_rate        | 0.391       |
|    std_cum_return       | 0.645       |
|    std_mdd              | 0.0781      |
|    std_sharpe           | 2.15        |
|    std_win_rate         | 0.0766      |
-----------------------------------------
  [eval] step=800,000  val cum_ret=+15.45%  MDD=-30.75%  sharpe=-0.166  win_rate=39.1%
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 757      |
|    ep_rew_mean     | 4.42     |
| time/              |          |
|    fps             | 1565     |
|    iterations      | 98       |
|    time_elapsed    | 512      |
|    total_timesteps | 802816   |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 805         |
|    ep_rew_mean          | 4.75        |
| time/                   |             |
|    fps                  | 1567        |
|    iterations           | 99          |
|    time_elapsed         | 517         |
|    total_timesteps      | 811008      |
| train/                  |             |
|    approx_kl            | 0.034842536 |
|    clip_fraction        | 0.194       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.457      |
|    explained_variance   | 0.0788      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0388     |
|    n_updates            | 980         |
|    policy_gradient_loss | -0.0217     |
|    value_loss           | 0.0184      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 798        |
|    ep_rew_mean          | 4.59       |
| time/                   |            |
|    fps                  | 1569       |
|    iterations           | 100        |
|    time_elapsed         | 521        |
|    total_timesteps      | 819200     |
| train/                  |            |
|    approx_kl            | 0.03304568 |
|    clip_fraction        | 0.191      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.484     |
|    explained_variance   | 0.158      |
|    learning_rate        | 0.0003     |
|    loss                 | -0.0416    |
|    n_updates            | 990        |
|    policy_gradient_loss | -0.022     |
|    value_loss           | 0.0152     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 815         |
|    ep_rew_mean          | 4.72        |
| time/                   |             |
|    fps                  | 1571        |
|    iterations           | 101         |
|    time_elapsed         | 526         |
|    total_timesteps      | 827392      |
| train/                  |             |
|    approx_kl            | 0.029135102 |
|    clip_fraction        | 0.184       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.486      |
|    explained_variance   | 0.112       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0244     |
|    n_updates            | 1000        |
|    policy_gradient_loss | -0.0229     |
|    value_loss           | 0.0141      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 795         |
|    ep_rew_mean          | 4.45        |
| time/                   |             |
|    fps                  | 1573        |
|    iterations           | 102         |
|    time_elapsed         | 530         |
|    total_timesteps      | 835584      |
| train/                  |             |
